Composition du train,Type de matériel,Ligne,Tournée,Code de dégradation,Période d'exploitation,Type de Jour,Année civile,Année civile/mois,Année civile/semaine,Année civile/Trim.,Jour calendaire,Jour de la semaine,Mois calendrier,Km voiture
001-000-000,10,Ligne orange,0,CMC,19J,Semaine,2019,2019-01,201903,2019-1,2019-01-14,Lundi,1,0.558
001-000-000,10,Ligne orange,0,CMC,19J,Semaine,2019,2019-01,201903,2019-1,2019-01-15,Mardi,1,17.19
001-000-000,10,Ligne orange,0,CMC,19J,Semaine,2019,2019-01,201903,2019-1,2019-01-16,Mercredi,1,0.873
001-000-000,10,Ligne orange,0,CMC,19J,Semaine,2019,2019-01,201904,2019-1,2019-01-24,Jeudi,1,11.7
001-000-000,10,Ligne orange,0,CMC,19J,Semaine,2019,2019-01,201905,2019-1,2019-01-29,Mardi,1,1.755
001-000-000,10,Ligne orange,0,CMC,19J,Semaine,2019,2019-01,201905,2019-1,2019-01-30,Mercredi,1,0.468
001-000-000,10,Ligne orange,0,CMC,19J,Semaine,2019,2019-01,201905,2019-1,2019-01-31,Jeudi,1,3.744
001-000-000,10,Ligne orange,0,CMC,19J,Semaine,2019,2019-02,201905,2019-1,2019-02-01,Vendredi,2,5.85
001-000-000,10,Ligne orange,0,CMC,19J,Semaine,2019,2019-02,201906,2019-1,2019-02-04,Lundi,2,5.85
001-000-000,10,Ligne orange,0,CMC,19J,Semaine,2019,2019-02,201906,2019-1,2019-02-05,Mardi,2,0.441
001-000-000,10,Ligne orange,0,CMC,19J,Semaine,2019,2019-02,201906,2019-1,2019-02-06,Mercredi,2,0.873
001-000-000,10,Ligne orange,0,CMC,19J,Semaine,2019,2019-02,201907,2019-1,2019-02-13,Mercredi,2,0.999
001-000-000,10,Ligne orange,0,CMC,19J,Semaine,2019,2019-02,201908,2019-1,2019-02-18,Lundi,2,1.422
001-000-000,10,Ligne orange,0,CMC,19J,Semaine,2019,2019-02,201908,2019-1,2019-02-20,Mercredi,2,2.673
001-000-000,10,Ligne orange,0,CMC,19J,Semaine,2019,2019-02,201908,2019-1,2019-02-21,Jeudi,2,0.954
001-000-000,10,Ligne orange,0,CMC,19J,Semaine,2019,2019-02,201908,2019-1,2019-02-22,Vendredi,2,3.978
001-000-000,10,Ligne orange,0,CMC,19J,Semaine,2019,2019-02,201909,2019-1,2019-02-25,Lundi,2,8.604
001-000-000,10,Ligne orange,0,CMC,19J,Semaine,2019,2019-02,201909,2019-1,2019-02-26,Mardi,2,4.284
001-000-000,10,Ligne orange,0,CMC,19J,Semaine,2019,2019-03,201911,2019-1,2019-03-13,Mercredi,3,0.873
001-000-000,10,Ligne orange,0,CMC,19J,Semaine,2019,2019-03,201911,2019-1,2019-03-14,Jeudi,3,0.873
001-000-000,10,Ligne orange,0,CMC,19J,Semaine,2019,2019-03,201911,2019-1,2019-03-15,Vendredi,3,0.558
001-000-000,10,Ligne orange,0,CMC,19J,Semaine,2019,2019-03,201912,2019-1,2019-03-19,Mardi,3,0.396
001-000-000,10,Ligne orange,0,CMC,19J,Semaine,2019,2019-03,201912,2019-1,2019-03-20,Mercredi,3,3.735
001-000-000,10,Ligne orange,0,CMC,19J,Semaine,2019,2019-03,201912,2019-1,2019-03-21,Jeudi,3,0.999
001-000-000,10,Ligne orange,0,CMC,19J,Samedi,2019,2019-02,201905,2019-1,2019-02-02,Samedi,2,0.873
001-000-000,10,Ligne orange,0,CMC,19J,Dimanche,2019,2019-01,201902,2019-1,2019-01-13,Dimanche,1,12.618
001-000-000,10,Ligne orange,0,CMC,19J,Dimanche,2019,2019-02,201905,2019-1,2019-02-03,Dimanche,2,1.422
001-000-000,10,Ligne orange,0,CMC,19J,Dimanche,2019,2019-03,201911,2019-1,2019-03-17,Dimanche,3,0.927
001-000-000,10,Ligne orange,0,CMC,19M,Semaine,2019,2019-03,201913,2019-1,2019-03-25,Lundi,3,10.674
001-000-000,10,Ligne orange,0,CMC,19M,Semaine,2019,2019-03,201913,2019-1,2019-03-26,Mardi,3,1.557
001-000-000,10,Ligne orange,0,CMC,19M,Semaine,2019,2019-03,201913,2019-1,2019-03-27,Mercredi,3,0.999
001-000-000,10,Ligne orange,0,CMC,19M,Semaine,2019,2019-03,201913,2019-1,2019-03-28,Jeudi,3,0.558
001-000-000,10,Ligne orange,0,PA,19J,Semaine,2019,2019-01,201904,2019-1,2019-01-24,Jeudi,1,1.431
001-000-000,10,Ligne orange,0,PA,19J,Semaine,2019,2019-02,201908,2019-1,2019-02-20,Mercredi,2,1.422
